debito;credito;data;grupo;subgrupo;valor
;;22/07/2025;;COPA / LIMPEZA;-14,91
;;22/07/2025;;MAT ESCRIT;-6
;;22/07/2025;;INVESTIMENTO;-158
;;22/07/2025;;EVENTO;-67,5
;;22/07/2025;;MANUT PREDIAL;-225,45
;;22/07/2025;;INSUM DE PRODUÇ;-57,38
;;22/07/2025;;MANUT PREDIAL;-18,2
;;22/07/2025;;MANUT EQUIP;-8
;;22/07/2025;;INSUM DE PRODUÇ;-5,98
;;22/07/2025;;INVESTIMENTO;-766,67
;;22/07/2025;;INVESTIMENTO;-1070,15
;;22/07/2025;;INVESTIMENTO;-200
;;22/07/2025;;INVESTIMENTO;-326,06
;;22/07/2025;;;10000
;;23/07/2025;;PROLABORE;5000
;;23/07/2025;;EMPRÉSTIMOS;-1800
;;23/07/2025;;PROLABORE;-1000
;;23/07/2025;;INSUM DE PRODUÇ;-286,75
;;23/07/2025;;INSUM DE PRODUÇ;-220,09
;;23/07/2025;;;3379,9
;;24/07/2025;;IMP SOBRE VENDA;-12697,61
;;25/07/2025;;IMP SOBRE VENDA;12697,61
;;25/07/2025;;;2640
;;25/07/2025;;FRETE / MOTOBOY;-70
;;25/07/2025;;CONTABILIDADE;-1440
;;25/07/2025;;INSUM DE PRODUÇ;-499,63
;;25/07/2025;;INSUM DE PRODUÇ;-608,57
;;25/07/2025;;INSUM DE PRODUÇ;608,57
;;25/07/2025;;INSUM DE PRODUÇ;-313,98
;;25/07/2025;;INSUM DE PRODUÇ;-249,59
;;28/07/2025;;EMPRÉSTIMOS;-210,27
;;28/07/2025;;;-1,66
;;31/07/2025;;SEGUROS;-26,35
;;25/08/2025;-;-;-14746,38
;;25/08/2025;Receitas ;Vendas de próteses;1751,5
;;25/08/2025;Receitas ;Vendas de próteses;3737,54
;;25/08/2025;Receitas ;Vendas de próteses;2263,4
;;26/08/2025;-;-;430,13
;;26/08/2025;Custos;Auxílio-transporte e combustível;-600
;;26/08/2025;Custos;Auxílio-transporte e combustível;-206,8
;;26/08/2025;Custos;Auxílio-transporte e combustível;-378,4
;;26/08/2025;Custos;Auxílio-transporte e combustível;-300
;;26/08/2025;Custos;Auxílio-transporte e combustível;-360
;;26/08/2025;Atividades de investimentos;Aquisição de imobilizado;-5115,73
;;26/08/2025;Custos;Matéria-prima;-7157,12
;;26/08/2025;Custos;Auxílio-transporte e combustível;-554,4
;;26/08/2025;Receitas ;Vendas de próteses;1107,84
;;26/08/2025;Receitas ;Vendas de próteses;1107,84
;;26/08/2025;Receitas ;Vendas de próteses;829,85
;;26/08/2025;Receitas ;Vendas de próteses;829,88
;;26/08/2025;Receitas ;Vendas de próteses;829,88
;;26/08/2025;Receitas ;Vendas de próteses;829,88
;;26/08/2025;Receitas ;Vendas de próteses;829,88
;;26/08/2025;Receitas/despesas financeiras;Tarifas bancárias;-25,44
;;26/08/2025;Receitas ;Vendas de próteses;4566,95
;;26/08/2025;Receitas ;Vendas de próteses;10000
;;26/08/2025;Receitas ;Vendas de próteses;1500
;;27/08/2025;Atividades de investimentos;Aquisição de imobilizado;-2499,67
;;27/08/2025;Custos;Matéria-prima;-1318,5
;;27/08/2025;Despesas administrativas;Serviços de terceiros;-525
;;27/08/2025;Receitas ;Vendas de próteses;1140,61
;;27/08/2025;Receitas ;Vendas de próteses;1140,61
;;27/08/2025;Receitas ;Vendas de próteses;1140,61
;;27/08/2025;Receitas ;Vendas de próteses;1140,61
;;27/08/2025;Receitas ;Vendas de próteses;1140,61
;;27/08/2025;Receitas ;Vendas de próteses;1140,62
;;27/08/2025;Receitas ;Vendas de próteses;600
;;27/08/2025;Receitas ;Vendas de próteses;1158,65
;;27/08/2025;Receitas ;Vendas de próteses;1158,65
;;27/08/2025;Receitas ;Vendas de próteses;1158,66
;;27/08/2025;Custos;Salários e ordenados;-386,36
;;27/08/2025;Custos;CRO;-229,51
;;27/08/2025;Custos;Salários e ordenados;-650
;;27/08/2025;Receitas ;Vendas de próteses;580
;;27/08/2025;Receitas ;Vendas de próteses;1000
;;27/08/2025;Receitas ;Vendas de próteses;4680
;;28/08/2025;Receitas ;Vendas de próteses;11935,99
;;28/08/2025;Receitas ;Vendas de próteses;1249,36
;;28/08/2025;Receitas ;Vendas de próteses;1249,36
;;28/08/2025;Receitas ;Vendas de próteses;896,13
;;28/08/2025;Receitas ;Vendas de próteses;896,14
;;28/08/2025;Receitas ;Vendas de próteses;1000
;;29/08/2025;-;-;3480,41
;;29/08/2025;Atividades de financiamentos;Pagamento de dívida tributária parcelada;-929,57
;;29/08/2025;Atividades de financiamentos;Pagamento de dívida tributária parcelada;-5863,88
;;29/08/2025;Custos;Auxílio-alimentação e refeição;-350
;;29/08/2025;Custos;Auxílio-alimentação e refeição;-350
;;29/08/2025;Custos;Matéria-prima;-366,14
;;29/08/2025;Custos;Matéria-prima;-1181,32
;;29/08/2025;Despesas administrativas;Auxílio-alimentação e refeição;-350
;;29/08/2025;Despesas administrativas;Auxílio-alimentação e refeição;-350
;;29/08/2025;Custos;Auxílio-alimentação e refeição;-350
;;29/08/2025;Despesas administrativas;Auxílio-alimentação e refeição;-350
;;29/08/2025;Despesas administrativas;Auxílio-alimentação e refeição;-350
;;29/08/2025;Custos;Auxílio-alimentação e refeição;-350
;;29/08/2025;Despesas administrativas;Auxílio-alimentação e refeição;-350
;;29/08/2025;Despesas administrativas;Auxílio-alimentação e refeição;-350
;;29/08/2025;Custos;Auxílio-alimentação e refeição;-350
;;29/08/2025;Despesas administrativas;Rescisões;-5402,44
;;29/08/2025;Despesas administrativas;FGTS;-832
;;29/08/2025;Custos;Auxílio-alimentação e refeição;-350
;;29/08/2025;Receitas ;Vendas de próteses;2000
;;29/08/2025;Receitas ;Vendas de próteses;3342
;;29/08/2025;Receitas ;Vendas de próteses;11935,99
;;29/08/2025;Receitas ;Vendas de próteses;95,32
;;29/08/2025;Receitas ;Vendas de próteses;466,91
